timestamp_ns,time_s,center_row_px,center_col_px,tracked
1788946145437011653,23.940286188,549.0,425.5,1
1788946145469080545,23.97235508,548.0,424.5,1
1788946145504917749,24.008192284000003,547.5,424.5,1
1788946145537036523,24.040311058,542.5,422.5,1
1788946145568807994,24.072082529000003,541.0,422.5,1
1788946145604687012,24.107961547000002,533.0,420.0,1
1788946145636740433,24.140014968000003,533.0,420.0,1
1788946145668682242,24.171956777000002,530.0,421.5,1
1788946145704663289,24.207937824000002,530.5,421.5,1
1788946145736664209,24.239938744,530.5,421.5,1
1788946145768627372,24.271901907,526.5,420.5,1
1788946145804744398,24.308018933000003,529.0,420.5,1
1788946145836889002,24.340163537000002,532.0,424.0,1
1788946145868888873,24.372163408000002,532.0,424.0,1
1788946145904614864,24.407889399000002,540.0,425.0,1
1788946145936791933,24.440066468,540.0,425.5,1
1788946145968818536,24.472093071,546.0,426.5,1
1788946146004732488,24.508007023,546.0,426.5,1
1788946146036713207,24.539987742,546.0,426.5,1
1788946146068875517,24.572150052,548.5,426.0,1
1788946146104675762,24.607950297000002,548.5,426.0,1
1788946146136741942,24.640016477000003,547.0,426.0,1
1788946146168729253,24.672003788,547.0,426.0,1
1788946146204697447,24.707971982,539.0,423.0,1
1788946146237048626,24.740323161000003,539.5,423.0,1
1788946146268963924,24.772238459,531.0,422.5,1
1788946146304917525,24.808192060000003,531.0,422.5,1
1788946146337211911,24.840486446,531.0,422.5,1
1788946146369087978,24.872362513000002,530.0,422.0,1
1788946146404874640,24.908149175000002,530.0,422.0,1
1788946146437126463,24.940400998,530.0,421.5,1
1788946146468935293,24.972209828,530.0,421.0,1
1788946146504927554,25.008202089,534.0,422.0,1
1788946146536988580,25.040263115000002,534.0,422.0,1
1788946146568988703,25.072263238,541.0,424.0,1
1788946146604750686,25.108025221000002,541.0,424.5,1
1788946146636951358,25.140225893,542.5,424.5,1
1788946146668911661,25.172186196000002,546.5,425.0,1
1788946146704978252,25.208252787000003,546.5,425.0,1
1788946146736922735,25.240197270000003,548.5,426.0,1
1788946146768677183,25.271951718,549.0,426.0,1
1788946146804747644,25.308022179,547.0,425.5,1
1788946146836893899,25.340168434000002,547.0,425.5,1
1788946146868762623,25.372037158,538.5,423.0,1
1788946146904545672,25.407820207,537.5,423.0,1
1788946146936761124,25.440035659000003,538.0,423.0,1
1788946146968915741,25.472190276000003,530.5,422.0,1
1788946147007285316,25.510559851,530.5,422.0,1
1788946147036970272,25.540244807,526.5,421.5,1
1788946147068671024,25.571945559000003,526.5,421.5,1
